,date,location,longitude,latitude,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DIFF,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,day_of_year,month,season,is_summer,is_winter,clearness_index,cloud_impact,temp_range,temp_category,ALLSKY_SFC_SW_DWN_7day_avg,ALLSKY_SFC_SW_DWN_30day_avg,CLRSKY_SFC_SW_DWN_7day_avg,CLRSKY_SFC_SW_DWN_30day_avg,ALLSKY_SFC_SW_DNI_7day_avg,ALLSKY_SFC_SW_DNI_30day_avg,CLRSKY_SFC_SW_DNI_7day_avg,CLRSKY_SFC_SW_DNI_30day_avg
count,1830,1830,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830,1830.0,1830.0,1830.0,1830.0,1830.0,1830,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0
unique,,5,,,,,,,,,,,,,,,4,,,,,,3,,,,,,,,
top,,Tamanrasset,,,,,,,,,,,,,,,Spring,,,,,,Moderate,,,,,,,,
freq,,366,,,,,,,,,,,,,,,460,,,,,,973,,,,,,,,
mean,2020-07-01 11:59:59.999999744,,5.2491,25.7887,6.267808743169399,6.592584699453552,5.969781420765027,6.597825136612022,2.1112841530054647,2.2837103825136613,23.719442622950822,31.720491803278687,16.568284153005465,15.152207650273224,183.5,6.5136612021857925,,0.25136612021857924,0.24863387978142076,0.9493454717787775,0.32477595628415296,15.152207650273224,,6.267262034868591,6.269909122826062,6.594130653135571,6.599870081118769,5.972201626333594,5.9745189430779835,6.605302823315118,6.615537738784148
min,2020-01-01 00:00:00,,0.2942,22.7851,1.65,3.09,0.09,0.51,0.49,0.52,2.83,9.27,-2.55,5.86,1.0,1.0,,0.0,0.0,0.3564954682779456,0.0,5.859999999999999,,2.86,2.86,3.8285714285714287,4.0275,0.9314285714285716,2.9153333333333333,1.532857142857143,3.3303333333333334
25%,2020-04-01 00:00:00,,2.4667,24.5542,5.0425,5.37,4.3825,5.585,1.43,1.46,16.384999999999998,24.7575,9.7125,13.82,92.0,4.0,,0.0,0.0,0.9480169082125603,0.0300000000000002,13.82,,5.194017857142857,5.165666666666667,5.361785714285714,5.388083333333334,4.934285714285714,5.14875,5.668928571428571,5.7444999999999995
50%,2020-07-01 12:00:00,,5.5281,26.484,6.38,6.81,6.44,6.915,1.98,2.0949999999999998,24.38,32.035,17.24,15.17,183.5,7.0,,0.0,0.0,0.9855071618191895,0.0999999999999996,15.170000000000002,,6.447857142857143,6.512166666666666,6.832857142857143,6.862833333333333,6.140714285714286,5.974333333333334,6.857142857142857,6.748
75%,2020-10-01 00:00:00,,8.4723,27.25,7.5075,7.79,7.8,7.94,2.71,2.92,30.3175,38.1875,22.92,16.59,275.0,10.0,,1.0,0.0,0.9951100244498778,0.3499999999999996,16.59,,7.373928571428571,7.262833333333334,7.767142857142857,7.767166666666667,7.242142857142857,6.739333333333334,7.641071428571428,7.451583333333334
max,2020-12-31 00:00:00,,9.4842,27.8702,8.82,8.84,10.49,10.23,4.45,5.42,40.17,47.92,33.1,21.72,366.0,12.0,,1.0,1.0,1.0,4.26,21.72,,8.528571428571428,8.343,8.607142857142858,8.461666666666666,9.617142857142856,8.87,9.512857142857143,8.873333333333335
std,,,3.485079632128148,1.8711842088018877,1.4448290015303762,1.3579381007197358,2.3194261880374922,1.8014321415331689,0.8585306921036665,1.0361696366218962,8.402594272236032,8.23775119527554,8.011978116319389,2.1623043821733687,105.68358413803088,3.4521772648080202,,0.4339171364453802,0.4323392350463289,0.08619675207070633,0.547042877037716,2.1623043821733687,,1.3216289999927326,1.2402121800433326,1.3274960985188262,1.2891406526277371,1.6177743166111878,1.1159991412190267,1.3764645586496982,1.0624388882685782
